Funding Sentences,Funding Sources
"R3 Encoding is supported by eight different crossets, plus two crossets to
change their orientation (Figure 6",[]
"This work is supported by PASCAL2 and the IUAP DYSCO, initiated by the Belgian State, Science
Policy Office","['the Belgian State', 'Science\r\nPolicy Office']"
"There are several different types of chain for conveying, lifting and handling:
Bush chain: this is used for low-speed conveying, and in the case where the load
is not supported by the chain",[]
"As will be illustrated in our case study, this
choice is supported by empirical evidence about the shape of the nonlinear function faced in the
objective function",[]
"This research was partially funded by the Lower Saxony research
network Smart Nord, which acknowledges the support of the
Lower Saxony Ministry of Science and Culture through the
“Niedersächsisches Vorab” grant program (grant ZN 2764/ZN
2896)",['Lower Saxony Ministry of Science and Culture']
"It was also partly funded by the Performance Plus research
project through the European Union’s Seventh Framework Program
for research, technological development and demonstration (grant
agreement no","['the European Union’s', 'Seventh Framework Program']"
René Taudal Poulsen would like to thank the Danish Maritime Fund [Grant No,['the Danish Maritime Fund']
"2011-85] and the Social Sciences and Humanities
Research Council of Canada Green Shipping Partnership Project [Grant No","['the Social Sciences', 'Humanities\r\nResearch Council of Canada Green Shipping Partnership Project']"
"# 895–2017–1003] and Copenhagen Business School for
financial support",['Copenhagen Business School']
"ACKNOWLEDGEMENT
The authors would like to acknowledge the IIT Jodhpur for
providing PV generation data and Central power Research
Institute, Bangalore for financial support","['the IIT Jodhpur', 'Central power Research\r\nInstitute']"
"MarcoPolo was
an international collaboration project funded by the EU 7th
framework programme",['EU']
"This work was supported by the National Science Foundation under grants CNS-0855128, CNS0834243, CNS-0916577, and EEC-0313747",['the National Science Foundation']
"This work was supported in part by the National Key R&D
Program of China under Grant 2020AAA0108100, and in part by the Science and
Technology Commission of Shanghai Municipality under Grant 21ZR1465900","['the National Key R&D\r\nProgram of China', 'Science']"
", “Vehicle-to-everything (V2X) services supported by LTEbased systems and 5G,” IEEE Commun",['LTEbased']
"A 2017 World Bank study

will be challenged to fund the necessary urban

documented how urban areas in Sub-Saharan

High-income countries

Africa often become stuck in a poverty trap in

80

which insufficient worker skills and poor transportation networks have resulted in higher

60

costs but lower incomes for workers",['World Bank']
"Basic improvements in
healthcare, education, and gender equality
generated rising per capita incomes and, in

turn, the fiscal capacity for households and
governments to fund further improvements,
especially in less developed countries",[]
"Greater demands will be made

of these steps will not be evenly distributed

on international financing vehicles such as the

within or between states, and the long-term

Green Climate Fund, which has approved $4

payoff of mitigation policies runs counter to

billion worth of adaptation projects",['Green Climate Fund']
"In 2019, the
International Monetary Fund (IMF) assessed
44

developing countries were at high risk of, or

G LO B AL T R EN D S 2 0 4 0

20 years is likely to be even more challenging than during the decade that followed the
financial crisis",['International Monetary Fund']
"NATIONAL DEBT AS A PERCENTAGE OF GDP
2007 | PRE-GLOBAL FINANCIAL CRISIS

100% or more
75% - 100%
50% - 75%
25% - 50%
Less than 25%
Not in FM sample

2020 | COVID-19

100% or more
75% - 100%
50% - 75%
25% - 50%
Less than 25%
Not in FM sample

Source: International Monetary Fund","['COVID-19', 'International Monetary Fund']"
"In contrast, the unique role of the

nizations that have underpinned the West-

International Monetary Fund (IMF) and high

ern-led international order for decades,

demand for IMF conditionality and assistance

including the UN, World Bank, and World

in debt restructuring most likely will make it

Trade Organization (WTO), are bogged down

central to the international system, although

by political deadlock, decreasing capacity

the growth of sovereign debt outside IMF

relative to worsening transnational challenges,

purview will be a challenge","['International Monetary Fund', 'IMF', 'UN', 'World Bank', 'Trade Organization', 'WTO', 'IMF']"
"Professor John Ikenberry of Princeton
University co-led workshops with SFG on key
questions and provided critical feedback and
support throughout three years of research,
as did fellow scholars in their personal
capacity: Amitav Acharya, Robert Art, Sheri
Berman, Bear Braumoeller, Zach Cooper, Dale
Copeland, Matt Daniels, Henry Farrell, Tanisha

Global Trends benefited tremendously from

Fazal, Martha Finnemore, Harold James, Robert

exchanges with our international foresight

Jervis, Miles Kahler, David Kang, Jonathan

partners, including Canada’s Policy Horizons,

Kirchner, Jacob Kirkegaard, Charles Kupchan,

the European Strategy and Policy Analysis

Jeff Legro, Mike Mastanduno, Kate McNamara,

System, Finnish Innovation Fund (SITRA), the

John Mearsheimer, Jonathan Moreno,

Finnish Prime Minister’s Office and Foreign

Abraham Newman, John Owen, Barry Posen,

Ministry, the Organization for Economic Co-

Mira Rapp-Hooper, Douglas Rediker, Elizabeth

operation and Development (OECD) Strategic

Saunders, Randy Schweller, Jack Snyder,

Foresight Unit, the Swedish Foreign Ministry

Manfred Steger, Constanze Stelzenmueller,

and National Defense College, the Singapore

Monica Toft, Jessica Chen Weiss, William

Centre for Strategic Futures, and the UK

Wohlforth, Tom Wright, Ali Wyne, and Keren

Ministry of Defense Development, Concepts,

Yarhi-Milo","['Princeton\r\nUniversity', 'Policy Horizons', 'the European Strategy and Policy Analysis', 'Finnish Innovation Fund', 'SITRA', 'the Organization for Economic Co-', 'OECD', 'the Swedish Foreign Ministry', 'National Defense College', 'Keren\r\n\r\nMinistry of Defense Development', 'Yarhi-Milo']"
"Computationally, this requires an additional backward pass through f to compute Hessian-vector

products, which is supported by standard deep learning libraries such as TensorFlow (Abadi et al",['TensorFlow']
"This conclusion is supported by the study from (Prakash and Bodisco, 2019) where they investigated the influence of
different driving styles on NOx emissions of a light-duty diesel vehicle during urban driving",[]
"Acknowledgements
This research was funded by the National Natural Science
Foundation of China grant number (No",['the National Natural Science\r\nFoundation of China']
Federal Financial Support for Electricity Generation Technologies,['Federal Financial Support for Electricity Generation Technologies']
"requirements for new transmission
interconnections to new power
plants [8] and existing transmission
lines [6] that connect multiple
generators to load centers, and



financial support from the
government that supports
overall electricity production
by 3-5 $/MWh [11]",[]
"✓

State-level Financial Support for
Electricity Generation Technologies

✓

✓

✓

✓

✓

✓
✓

✓

✓

✓

✓

✓
✓

Federal Financial Support for Electricity
Generation Technologies

✓
✓

✓

Estimation of Transmission Costs
for New Generation

The Full Cost of Electricity (FCe-)

Socio-economic

✓

Human Health

Capital Costs

✓

Environment

Consumers

✓

Regulation,
Taxes, and
Subsidies

Connectivity

The History and Evolution of the
U",['Taxes']
"Federal Financial Support for Electricity Generation
Technologies (see pg",['Federal Financial Support for Electricity Generation\r\nTechnologies']
"27 for summary)
o

Total federal financial support for
electricity-generating technologies
ranged between $10 and $18 billion
in the 2010s",[]
"o

Renewable generation is supported by
subsidies targeting R&D, electricity
production, and capacity additions, while
fossil fuel power plants are supported via
subsidies for fuel sales, fuel production,
and pollution controls",[]
"State-level Financial Support for Electricity
Generation Technologies (see pg",[]
"o

Texas generally uses its financial support
for economic development while California
uses it to meet environmental goals and to
drive down the cost of new technologies",[]
"Executive Summary: The Full Cost of Electricity, April 2018

| 26

12

Financial Support for
| Federal
Electricity Generation Technologies

Total federal financial support for the
electricity-generating technologies ranged
between $10 and $18 billion in the 2010s",['Federal\r\nElectricity Generation Technologies\r\n\r\nTotal']
"The total value of all federal
financial support for the fossil fuel industry (not
shown in Figure 17) is comparable to that spent on
renewables",[]
"Overall, electricity technologies
receive financial support worth $3-5/MWh",[]
"Renewable generation is supported by direct
subsidies while generation from fossil fuel power
plants are supported via indirect subsidies",[]
" Total federal financial support
for the electricity-generating
technologies
ranged
or conducting
R&D on clean coal and
carbon
between
$10
and
$18
billion
in
the
2010s",[]
"17) is comparable
of all federal financial support for thecosts
fossil(decommissioning,
fuel industry (not shown
in Figure
on the year, fossil fuels
andspent
nuclear
to that
on receive
renewables",[]
"FIGURE 17
Federal financial support
for Electricity by Fuel and
Year ($ million, nominal)",[]
"Executive Summary: The Full Cost of Electricity, April 2018

17

| 37

17

Level Support for Energy and Electricity:
| State
Texas and California Comparison

This white paper on state financial support to
electric power generation is a complement to the
white paper on federal financial support (Griffiths
et al","['State', 'California Comparison']"
"The objective of this white paper is to identify
the financial support (subsidies) offered by state
governments to different technologies that provide
electric power in the states of Texas and California",[]
"Between 2010 and 2019, Texas offers the energy
sector financial support worth a total value of
approximately $2–$3 billion per year",[]
"5-$7 billion annually in
financial support while the state offers no material

FIGURE 1:

Figure 2: Texas Financial Support for Energy & Electricity by Fuel and Year ($ million, nominal)
Texas Financial Support for Energy & Electricity by Fuel and Year ($ million, nominal)

Notes:
for are
wind
arerelated
thosetorelated
tothat
subsidies
thatCREZ
are transmission
not the CREZ
Notes: “Non-CREZ”
“Non-CREZ” costscosts
for wind
those
subsidies
are not the
lines","['Texas Financial Support for Energy & Electricity', 'Texas Financial Support for Energy & Electricity', 'CREZ']"
"Per-MWh Financial Support for Electricity Generation

The comparison of total Texas financial support to different generation technologies is
The Full Cost ofbut
Electricity
(FCe-)
Executive Summary:
The Fullcapital
Cost of Electricity,
informative
does not
tell the whole story",['FCe-']
"As such, it is essential to investigate the generation by each

FIGURE 2:
California Energy-Related Financial Support by Fuel and Technology ($ million, Nominal)

declines from $56/MWh to $40/MWh over the
study period, the support for solar drops from
$602/MWh to $96/MWh, and other renewables
receive constant support at or below $50/MWh","['California Energy-Related Financial Support', 'Fuel and Technology', 'Nominal']"
"The total value of financial support to the
electricity sector from the state of Texas in 2016
is valued at $59/Texan and $20/Texan with and
without CREZ, respectively",['CREZ']
"[11]
o

Texas and California differ in distribution
of financial support for energy and
electricity technologies


Texas generally uses its financial

Executive Summary: The Full Cost of Electricity, April 2018

| 39

state initiatives",[]
"Figure 3: Texas $/MWh Financial Support by Type & Fuel (annual $ nominal divided by annual
generation per fuel)

FIGURE 3:
Texas $/MWh Financial Support by
Type & Fuel (annual $ nominal divided
by annual generation per fuel)
Note: that per-MWh costs of Solar and
Wind (with CREZ $) are much higher than
the vertical scale of the inset graphic","['Type & Fuel', 'Type & Fuel', 'CREZ']"
"“Federal
Financial Support for Electricity Generation
Technologies” White Paper UTEI/2016-11-1, 2016",[]
", Spence, David, and
Baldick, Ross, “State Level Financial Support
for Electricity Generation Technologies”
White Paper UTEI/2018-1-1, 2018, available
at: http://energy",['White Paper']
"“Federal Financial Support for Electricity
Generation Technologies” White Paper
UTEI/2016-11-3, 2018, available at: http://energy",['UTEI/2016']
"The next step is to estimate the level of energy prices that
*Fiscal Affairs Department, International Monetary Fund, 700 19th Street NW, Washington DC 20431;
e-mail: dcoady@imf","['Fiscal Affairs Department', 'International Monetary Fund']"
"†
Fiscal Affairs Department, International Monetary Fund, 700 19th Street NW, Washington DC 20431;
e-mail: iparry@imf","['Fiscal Affairs Department', 'International Monetary Fund']"
"‡
Fiscal Affairs Department, International Monetary Fund, 700 19th Street NW, Washington DC 20431;
e-mail: bshang@imf","['Fiscal Affairs Department', 'International Monetary Fund']"
"The views expressed in this article are those of the authors and do not necessarily represent
the views of the International Monetary Fund (IMF), its Executive Board, or IMF management","['the International Monetary Fund', 'Executive Board', 'IMF']"
"com/reep/article-abstract/12/2/197/5039946/ by Politecnico Torino user on 07 October 2019

Regarding the supply cost component of efficient fuel prices, the International Monetary
Fund (IMF 2015) estimates these for (tradable) fossil fuel products according to their opportunity costs, or the prices these products could have sold for in regional international
markets, plus (for fuel importers) a standard markup for transportation and distribution
costs",['the International Monetary\r\nFund']
Source: International Monetary Fund (2015),['International Monetary Fund']
Source: International Monetary Fund (2015),['International Monetary Fund']
"208
Table 1 Recent energy price reforms: selected countries
Country

Liberalize domestic fuel prices by 2020
Fuel and gas prices increased 40-78%, electricity prices increased 20-50% in 2014
Petroleum prices liberalized 2015
Gasoline, diesel, kerosene prices increased 6-8% in 2014, 9-11% in 2015
Liberlized gasoline prices in 2010 and diesel prices in 2014
Abolished gasoline subsidies and capped diesel subsidies in 2015
Automatic pricing mechanism in 2012, fuel subsidies zero in 2014
Raised diesel and kerosene prices 210% in 2015 (partially reversed)
Eliminating fuel subsidies and implementing automatic pricing in 2016
Prices for gasoline and diesel set monthly to reflect international prices
Domestic fuel prices to be liberalized in 2018
Gasoline, diesel, industrial fuel oil and LPG subsidies eliminated
Gasoline price increased 50% in 2015, planned increases for diesel, gas, electricity
Plan to eliminate fuel subsidies by 2019 (but fuel price riots in 2013)
Automatic fuel price mechanism in 2015 and gasoline/diesel prices increased 25-30%
Gasoline, diesel, kerosene prices increased 20, 50, 100%, respectively, in 2014

Source: International Monetary Fund (2016)","['LPG', 'International Monetary Fund']"
"These key design lessons are also broadly supported by more recent studies (Clarke 2015;
Boersma and Griffiths 2016; Sivaram and Harris 2016) and have often been adopted as part of
countries’ recent reform efforts",['Sivaram']
Source: International Monetary Fund Primary Commodity Prices (August 2016) and U,['International Monetary Fund Primary Commodity Prices']
"Working paper 13/128, International Monetary
Fund, Washington, DC","['Working', 'International Monetary\r\nFund']"
"Washington, DC: International Monetary Fund",['International Monetary Fund']
"IMF Technical Notes
and Manuals 2012/03, International Monetary
Fund, Washington, DC","['IMF Technical Notes', 'International Monetary\r\nFund']"
"Washington, DC:
International Monetary Fund",['International Monetary Fund']
"IMF working
paper 15/30, International Monetary Fund,
Washington, DC","['IMF', 'International Monetary Fund']"
International Monetary Fund,['International Monetary Fund']
"International Monetary
Fund, Washington, DC",['International Monetary\r\nFund']
"International Monetary Fund, Washington, DC",['International Monetary Fund']
"Working paper 10/174,
International Monetary Fund, Washington, DC","['Working', 'International Monetary Fund']"
"Washington, DC: International Monetary
Fund",['International Monetary\r\nFund']
"Unpublished manuscript, International Monetary Fund,
Washington, DC",['International Monetary Fund']
"Working
paper 14/174, International Monetary Fund,
Washington, DC",['International Monetary Fund']
"The National Experiment in Undergraduate Science Education – Project NEXUS – is based on a grant
from the Howard Hughes Medical Institute and is
complemented by an NSF collaborative TUES grant,
Creating a Common Thermodynamics (CCΘ)","['The National Experiment', 'Undergraduate Science Education', 'the Howard Hughes Medical Institute', 'NSF', 'TUES', 'CCΘ']"
"9)
The CCΘ grant brings together disciplinary education
specialists in physics, biology, and chemistry from six
universities (University of Maryland, University of
Colorado, University of New Hampshire, Swarthmore
College, Michigan State University, and Virginia
Tech)","['CCΘ', 'University of Maryland', 'University of\r\nColorado', 'University of New Hampshire', 'Swarthmore\r\nCollege', 'Michigan State University', 'Virginia\r\nTech']"
"Respecting interdisciplinarity through
including biological authenticity
To help students develop a sense that the biology they
are learning is supported by a multi-disciplinary approach, we want tasks that are biologically authentic,
but there is more to authenticity than just content",[]
"The theoretical treatments of these ideas
in lecture and recitation are supported by and facilitate
the study of random vs",[]
"ACKNOWLEDGEMENTS
This material is based upon work supported by the
Howard Hughes Medical Institute NEXUS grant and
the US National Science Foundation under Awards
DUE 11-22818, DGE 07-50616, and partial support
under DMR-12-44666","['Howard Hughes Medical Institute NEXUS', 'the US National Science Foundation']"
"10
NSF grant #DUE 11-22818, Collaborative Research:
Creating a Common Thermodynamics","['NSF', 'Collaborative Research']"
Funding: This study was funded by the Qingdao Top Talent Program of Innovation and Entrepreneurship (Grant No,['the Qingdao Top Talent Program of Innovation and Entrepreneurship']
"19-3-2-11-zhc), the project of “Research and Development of Key Technologies and
Systems for Unmanned Navigation of Coastal Ships” of the National Key Research and Development Program (Grant No",['the National Key Research and Development Program']
"2018YFB1601500), the General Project of Natural Science Foundation of
Shandong Province of China (Grant No",['the General Project of Natural Science Foundation']
ZR2020MF082) and the Shandong Intelligent Green Manufacturing Technology and Equipment Collaborative Innovation Center (Grant No,"['the Shandong Intelligent Green Manufacturing Technology', 'Equipment Collaborative Innovation Center']"
"Acknowledgments
This work was supported by Tucson Electric Power
(TEP)","['Tucson Electric Power', 'TEP']"
"This material is based upon work performed on the El Gato supercomputer supported by the National
Science Foundation under Grant No","['El Gato', 'the National\r\nScience Foundation', 'Grant No']"
"This material is
based upon work supported by the National Science Foundation
under Grant No","['the National Science Foundation', 'Grant No']"
", Grant, I",['Grant']
"If the demand for reactive power exceeds a critical
limit that cannot be supported by the voltage
supplied at the observed load’s terminals, then a
voltage collapse condition may lead to the much
feared outage situation",[]
"In such rotating machines it is the positive
sequence rotating field that is supported by the 60/50 Hz
reactive power that sustains the dominant (useful) torque",[]
"org

Powered by the California Digital Library
University of California

Impacts of Variable Renewable Energy on Bulk
Power System Assets, Pricing, and Costs
Authors:

Ryan Wiser, Andrew Mills, Joachim Seel1
Todd Levin, Audun Botterud2

1

Lawrence Berkeley National Laboratory

2

Argonne National Laboratory

November 2017

This work was supported by the Transmission Permitting & Technical Assistance Division of the U","['org\r\n\r\nPowered', 'the California Digital Library\r\nUniversity of California\r\n\r\n\x0cImpacts of Variable Renewable Energy on Bulk\r\nPower System Assets', 'Lawrence Berkeley National Laboratory', 'Argonne National Laboratory', 'the Transmission Permitting & Technical Assistance Division']"
"Acknowledgements
This work was supported by the Transmission Permitting & Technical Assistance Division of the U",['the Transmission Permitting & Technical Assistance Division']
"We thank our DOE sponsors for supporting this research: Caitlin Callaghan, Matthew
Rosenbaum, Lawrence Mansueti, William Parks, David Meyer, and Travis Fisher, and also acknowledge
Argonne National Laboratory for financial support",['Argonne National Laboratory']
"(2017), for example, find that the historical air pollution and climate
benefits of wind and solar are comparable to past levels of state and federal financial support",[]
"“Federal Financial Support for the Development and Production of Fuels and Energy
Technologies",[]
"ACKNOWLEDGEMENTS
This work was supported by the New Energy and Industrial
Development Organization, Japan, in the project Research
and Development of PV Performance and Reliability Characterization Technologies, and by the Japan Science and Technology Agency (CREST)","['the New Energy and Industrial\r\nDevelopment Organization', 'Research\r\nand Development of PV Performance and Reliability Characterization Technologies', 'the Japan Science and Technology Agency', 'CREST']"
"For instance, Okonkwo and Ade-Ibijola (2021) found out that chatbots motivate students, keep them engaged, and grant them immediate assistance,

13

978

Education and Information Technologies (2023) 28:973–1018

particularly online","['Ade-Ibijola', 'Education', 'Information Technologies']"
", “teaching
agent”, “peer agent”, “motivational agent”) supported by the literature in Chhibber and Law (2019), Baylor (2011), and Kerlyl et al",[]
RQ4	- What are the interaction styles supported by the educational chatbots,[]
4 RQ4 – What are the interaction styles supported by the educational chatbots,[]
• RQ4 investigated the interaction styles supported by the educational chatbots,[]
"Acknowledgment

Enbrain (Project number 586221) is a capacity building project in higher
education co-funded by the Education, Culture and Audiovisual Executive
Agency (EACEA) from the European Union under the Erasmus + KA2","['Education', 'Culture and Audiovisual Executive\r\nAgency', 'EACEA', 'the European Union']"
"State Incentives for Solar Technologies

I
Grant

Other

7
I

+
+
9,,
Income Tax

I
Accel",[]
"For example, once the government makes the decision to sponsor photovoltaic
research, an economic evaluation fi-om a private investor perspective should be performed to determine
if the new technology will succeed in the marketplace",[]
"In our case, we had only one

Energies 2018, 11, 1763

6 of 20

year of data and were therefore interested in developing a solution, supported by a limited number of
samples, capable of providing both a deterministic forecast and a measure of its uncertainty",[]
"Acknowledgments: This work was partially financed by the European Union’s Horizon 2020 research and
innovation program under Grant Agreement No","['the European Union’s Horizon 2020', 'Grant Agreement No']"
"646463, project NETfficient, Energy and economic efficiency for
today’s smart communities through integrated multi-storage technologies, which also covered the costs to publish
in open access, by the project “Tessuto Digitale Metropolitano” funded by the ROP Sardegna ERDF Action 1","['NETfficient', 'Energy', 'the ROP Sardegna ERDF Action']"
"This paper presents a
comprehensive list of challenges and opportunities supported by a literature review on the evolution
of converter-based microgrids",[]
"Future work
As a microgrid has evolved from a distribution network and can be viewed as a building block
of a smart grid supported by modern communication architectures, microgrid research is likely to
continue until smart grids are fully established everywhere",[]
"Acknowledgment
This work is supported by the Australian Government Research Training Program (RTP)
Scholarship at The University of New South Wales - Canberra, Australia","['the Australian Government Research Training Program', 'The University of New South Wales - Canberra']"
"A new grey support vector
machine(GSVM) , which combines SVM and grey theory, was
presented to predict the life of gyroscope, and it obtained a

*Resrach supported by the Fundamental Research Funds for the Central
Universities #2016083 and Key Laboratory of Spacecraft in-orbit Fault
Diagnosis and Maintenance","['SVM', 'the Fundamental Research Funds', 'the Central\r\nUniversities', 'Key Laboratory', 'Fault\r\nDiagnosis and Maintenance']"
"Proper operation and management of sub-systems such as fuel injection equipment, turbocharger and exhaust gas recirculation (EGR) circuits are as well requested, in order to grant performance, fuel consumption and exhaust boundary conditions",['EGR']
"This study is supported by the research project “Tugboat Sched­
uling for Large Container Ports (Grant No","['Large Container Ports', 'Grant No']"
"R726000003646)” funded by
the Ministry of Education - Singapore via the Institute of Operations
Research and Analytics at National University of Singapore","['the Ministry of Education - Singapore', 'the Institute of Operations\r\nResearch and Analytics', 'National University of Singapore']"
"eu), which has received funding from the
European Union’s under the Horizon 2020 Framework
Programme grant agreement No 645963",['the\r\nEuropean Union’s']
"ACKNOWLEDGMENTS
These developments were supported in part by the National Science Foundation through Grant Nos",['the National Science Foundation']
"The fundamental
concept of the MTC is that as the costs of installing solar panels decline, this would allow for a gradual
process or “glide path” for reducing the additional financial support provided to make such investments
viable",['MTC']
"Government Subsidies

The last option from our literature review for reforming NEM programs is to have the State and
federal government fund the revenue gap that is occurring to the utility companies under NEM programs","['NEM', 'State', 'NEM']"
"58

The argument for this approach is that since the State governments created the RPS and are demanding
that the utility companies need to switch to cleaner energy sources, therefore, they should fund a portion
of the clean energy transition","['State', 'RPS']"
"This
is supported by the results presented in the third and fourth cases in
Table 1",[]
"For example, a mutual fund that
beats the market ten years in a row looks very impressive,
until you realize that, if there are 1000 funds and each has
a 50% chance of beating the market on any given year, it’s
quite likely that one will succeed all ten times just by luck",[]
"This
study was supported by a grant from Iran National Science
Foundation (INSF)",['Iran National Science\r\nFoundation']
"This research was supported by the DoD Multidisciplinary University Research
Initiative (MURI) program administered by the Office of Naval Research under Grant N00014-0110745, by the National Science Foundation under Awards ATM-0724721 and DMS-0706745, and by
the Joint Ensemble Forecasting System (JEFS) under subcontract S06-47225 from the University
Corporation for Atmospheric Research (UCAR)","['the DoD Multidisciplinary University Research\r\nInitiative', 'the Office of Naval Research', 'the National Science Foundation', 'the Joint Ensemble Forecasting System', 'the University\r\nCorporation for Atmospheric Research']"
"Such co-variance might be
difficult to project before feature engineering, yet once being discovered through feature
engineering, is supported by the domain knowledge as well",[]
"Abnormal situation management in
a refinery supply chain supported by an agent-based simulation model",[]
"The better performance of the proposed approach using
multivariate prediction model is also supported by Fig",[]
"Acknowledgements
Supported in part by NSF grant DUE-0320608",['NSF']
"The authors also thank
the Brazilian agencies FAPDF, FINEP, and CAPES for
financial support and provision of research
fellowships and scholarships","['FAPDF', 'FINEP', 'CAPES']"
Since 2014 it is replaced by the CEF fund,['CEF']
"This is led by the key drivers of (i) ECAs limits, (ii) Norwegian Nitrogen Oxide (NOx)
fund 54 and (iii) Norwegian government requirements on improved environmental
performance for ferry route concessions",[]
"The NOx fund is an agreement between 15 Norwegian business organisations and the Ministry of the
Environment",['the Ministry of the\r\nEnvironment']
The Fund has about €75 million/year to support NOx reducing measures,[]
"If supported by the demand of the industry, this
competence can be exploited to make the ferries an attractive investment opportunity and,
at the same time, more efficient and cost‐effective in their compliance with the ECAs’
requirements",[]
"Project funded
by the government of Italy through the Central European Initiative – Ministry of foreign
affairs fund",['the Central European Initiative – Ministry of foreign\r\naffairs fund']
", (2014), Norwegian NOx Fund as a driving force for LNG use, NOx Fond, Viking
Line Seminar, 16 of January 2014","['Norwegian NOx Fund', 'LNG', 'Fond']"
"Before testing the candidate algorithms, the grid parameters search optimizer, supported by Scikit learn [42], was used to tune each algorithm’s hyperparameters",[]
"Funding: This research was funded by Deanship of Graduate Studies and Scientific Research at the
German Jordanian University, Seed fund SATS 03/2020",['German Jordanian University']
Acknowledgments: This research has been financed by the Europan Social Fund,['the Europan Social Fund']
"The authors
would like to acknowledge the Deanship of Graduate Studies and Scientific Research at the German
Jordanian University for the Seed fund SATS 03/2020",['Jordanian University']
"Awaysheh acknowledges support
via IT Academy program and the European Regional Development Funds via the Mobilitas Plus
programme (grant MOBTT75)","['IT Academy', 'the European Regional Development Funds', 'Mobilitas']"
"This is supported by the previously discussed user evaluation of
P ROMPT and Chimaera",['Chimaera']
"In ontology mapping,
this decision model can be supported by an overview of the generated mappings with
support for user-driven filtering and searching",[]
"While most of the requirements are supported by the P ROMPT+C OG Z tool suite,
there are some limitations",['OG Z']
"CLIMATE CHANGE AND AI: RECOMMENDATIONS FOR GOVERNMENT ACTION

9

Table E-1: Summary of recommendations
Theme

Recommendations for governments

Supporting AI applications in climate change mitigation and adaptation

Data and digital
infrastructure

Research and
innovation
funding

Deployment
and systems
integration

10

•

Establish data task-forces in climate-critical sectors

•

Facilitate data creation and open data standards, where appropriate, in
climate-critical industries

•

Rapidly create data portals to increase data access and sharing

•

Collaborate with GPAI member countries (and others) to fund the
development of an international catalogue for open-source climaterelevant data, models, and software

•

Oversee the development of data collection systems and digital twins for
energy, transport, and other physical infrastructure

•

Support cloud compute resources that are affordable for academic
researchers, civil society, and small and medium enterprises

•

Ensure decisions on research and innovation funding for AI-for-climate
projects are impact-driven, rather than technology-driven

•

Accommodate AI within wider climate “grand challenges”

•

Develop targeted AI-for-climate challenges where AI can offer particularly
high impact results

•

Encourage open IP, open data, and open model development within
innovation funding for AI-for-climate solutions

•

Develop innovation funding for AI-for-climate solutions so as to foster
greater diversity and equity in the AI-for-climate community

•

Fund the development of research compute and simulation assets for AIfor-climate research

•

Deploy AI-for-climate innovation support in a manner that aligns the
incentives of innovators and market incumbents

•

Channel primarily AI research and innovation funding, rather than climate
funding, to developing energy efficient AI

•

Embed digitalization and AI experts into governmental climate policy
teams and advisor groups

•

Launch digital innovation pathway initiatives within industries in climaterelevant sectors

•

Set up and co-fund public-private investment groups with regulated
industries to co-invest in startups offering digital services

•

Develop cross-sectoral innovation centers to incubate AI-for-climate
projects and facilitate collaborations

•

Develop and maintain non-commercial public interest applications

CLIMATE CHANGE AND AI: RECOMMENDATIONS FOR GOVERNMENT ACTION

Reducing AI’s negative impacts on the climate

Reducing
AI’s negative
impacts on the
climate

•

Avoid direct governmental funding of applications that run counter to
climate goals

•

Make climate change a central consideration when fostering the
development of AI-enabled technologies

•

Ensure that cloud compute is appropriately included in reporting and
carbon pricing policies

•

Procure AI and compute services only from companies that have signed up
to a net zero target covering scopes 1, 2, and 3

Building implementation, evaluation, and governance capabilities
•

Establish and implement standards or best practices guiding responsible
practice and participatory design of AI in climate contexts

•
Responsible AI
implementation
and assessment •

Include participation stipends for experts and civil society participants
within the budgets of governmental task forces and committees aimed at
shaping AI-for-climate initiatives

•

Set reporting requirements, where appropriate, for the life-cycle emissions
associated with the development and use of AI

•

Ensure funding for research in developing impact assessment
methodologies and gathering relevant information

•

Ensure funding and capacity for impartial third party impact assessment

•

Set methodological standards for impact assessments at the national and
international level

•

Facilitate availability of relevant data on compute-related greenhouse gas
emissions and application impacts of AI

•

Rapidly implement large scale AI literacy and “upskilling” programs for
governments, climate-relevant industries, and civil society

•

Fund interdisciplinary higher education, research, and professional
programs bridging AI and individual climate-relevant sectors

•

Incorporate elements on data and on climate, including both technical and
socio-technical components, into educational curricula

•

Fund or facilitate secondment programs for AI experts within climaterelevant sectors

•

Fund or incentivize the creation of trusted AI-for-climate solutions providers
and auditors

•

Develop and/or facilitate sharing of standards for scoping, developing,
deploying, maintaining, and evaluating AI-for-climate work

•

Develop and employ tools and instruments for monitoring, impact
assessment, benchmarking, and certification of AI-for-climate solutions,
and for climate impact assessment of AI

•

Ensure global access to the above programs and resources across a wide
variety of countries and local contexts

Assessing AI’s
overall impacts
on the climate

Capacity
building

Incorporate climate and environmental assessment and reporting into AI
regulation and strategies more broadly

CLIMATE CHANGE AND AI: RECOMMENDATIONS FOR GOVERNMENT ACTION

11

International
collaboration

12

•

Support knowledge sharing on policy design and implementation between
governments, industries, and key stakeholders

•

Pool limited government RD&D resources via, e","['Rapidly', 'AI', 'AI', 'IP', 'AI', 'AI', '•\r\n\r\nFund', 'AIfor', 'AI', 'AI', 'AI', 'AI', 'AI', 'AI', 'AI', 'AI', 'AI', '•\r\n\r\nFund', 'AI', '•\r\n\r\nFund', 'AI', '•\r\n\r\nFund', 'AI', 'AI', 'RD&D']"
