Limits Sentences,Generalized Limit Sentences
"This removes the need for equality constraints in the optimization problem, and the optimization
problem can then be reduced to a bounded optimization problem, where the only constraints are
fixed bounds on F1,x",['A limitation: This removes the need for equality constraints.']
"Algorithm 1: Nonlinear scalar allocation algorithm
1
2
3
4
5
6
7
8
9

Input desired control action, previous thrusts and previous angles;
Set bounds for the components of the thruster force;
Calculate sway force in front thruster from (65b);
Calculate sway force in aft thruster from (65c);
Formulate a cost function to minimize;
Solve a bounded, scalar optimization problem for the surge force in the front thruster;
Calculate the surge force in the aft thruster from (65a);
Calculate thrust setpoints from (58);
Calculate angle setpoints from (59);

One disadvantage over e",['A limitation: Algorithm 1 : Nonlinear scalar allocation algorithm.']
"However, this does not represent
a big problem, because these can be represented as soft constraints, i","['A limitation: However , this does not represent \r\n.']"
"It does not specify how to select the bounds in
the scalar optimization problem, and neither how to map the allocated thrusts to angles and RPM",['A limitation: It does not specify how to select.']
"To accommodate this, the optimization problem in Line 6 of Algorithm 1 may be repeated four times:
• Forward thrust on both thrusters
• Forward thrust on front thruster, reversed thrust on aft thruster
• Reversed thrust on front thruster, forward thrust on aft thruster
• Reversed thrust on both thrusters
The solution with lowest cost of the four is then chosen","['A limitation: To accommodate this , the optimization problem.']"
"This can be implemented in Algorithm 1 by manipulating
the bounds used in the scalar bounded optimization problem",['A limitation: This can be implemented in Algorithm 1.']
"Since the variable of the
optimization problem is F1,x , these constrains must expressed in terms F1,x",['A limitation: Since the variable of the \r\n optimization.']
"The bounds used in the optimization problem
is chosen to be the most restrictive of the two",['A limitation: The bounds used in the optimization problem.']
"4, this problem is overcome, because the thrusters may produce a turning moment without producing a surge force","['A limitation: 4 , this problem is overcome ,.']"
"The findings in this case study indicate that the novel control allocation algorithm is able to solve the
allocation problem for ferries very well",['A limitation: The findings in this case study indicate.']
"3 can probably adress the problems experienced for the
pseudo inverse method, however it is still believed to be inferior to the nonlinear scalar algorithm, since it is
a linearization of the actual problem and because it is more computationally expensive",['A limitation: 3 can probably adress the problems experienced.']
"For the case of a single thruster, the
allocation problem is trivial",['A limitation: For the case of a single thruster.']
"(81b) represents a challenge, as it based on the assumption of zero roll and pitch","['A limitation: ( 81b ) represents a challenge ,.']"
This mode presents a challenge from a control perspective,['A limitation: This mode presents a challenge from a.']
"Limited
maneuverability is therefore also a challenge",['A limitation: Limited \r\n maneuverability is therefore also a.']
"However, one big challenge
arises here","['A limitation: However , one big challenge \r\n arises.']"
"This choice is motivated by the
difficulty of the hydrodynamic modelling when transitioning from a high-speed regime to a low-speed regime",['A limitation: This choice is motivated by the \r\n.']
"The proposed adaptive guidance law seems like a promising solution to this
problem",['A limitation: The proposed adaptive guidance law seems like.']
"The allocation problem was
formulated as a scalar optimization problem, for which fast nonlinear solver exist",['A limitation: The allocation problem was \r\n formulated as.']
"[118,119] then
formalized the contact force guidance into a planar sensor-based
compliant motion planning problem, i","['A limitation: [ 118,119 ] then \r\n formalized the.']"
"a preimage planning
problem [120]; these methods have thrived also due to increasing accuracy of contact state estimation [121], which is still
seeing vast improvements [122]",['A limitation: a preimage planning \r\n problem [ 120.']
"Since the peg-in-hole is such a standard problem
in industry and homes, active research on the topic continues
as methods and hardware evolve",['A limitation: Since the peg - in - hole.']
"Finally, with an increasing number of methods proposed for
the peg-in-hole problem, novel benchmarks are being proposed
to allow comparison experiments between methods in peg-inhole","['A limitation: Finally , with an increasing number of.']"
"For more general use cases, force
control is often combined with position control for driving the
contact force to a desired set-point or trajectory (regulation/
tracking problem respectively)","['A limitation: For more general use cases , force.']"
"Also in tasks such as melon scooping while
one arm holds and the other one scoops [39], drawing on a board

1 For presentation clarity and simplicity, we consider a contact problem that
does not involve control of orientations and torques","['A limitation: For presentation clarity and simplicity , we.']"
"Studies on uncertainties on the slope of
the surface can be found for the regulation problem in [143,144]
(hybrid) and [145] (parallel) and for the force/position tracking problem in [146,147] (compliant contact) and [148] (rigid
contact",['A limitation: Studies on uncertainties on the slope of.']
"There
are several possible solutions to this problem, for example dissipating the energy into non-relevant directions [155], storing it
into a tank [156] or filtering the impedance profile if it causes
instabilities [157]",['A limitation: There \r\n are several possible solutions to.']
"In
addition, it would be also possible to use deep networks to encode
environment dynamics, but this is seldom done in in-contact manipulation, most likely due to the difficulty of collecting sufficient
training data for the data-hungry models","['A limitation: In \r\n addition , it would be.']"
"Since there is always uncertainty in
the observations, a popular method to approach this problem
is the HMM, where it is assumed the state cannot be directly
observed, but instead observations yt are made, which depend
on xt",['A limitation: Since there is always uncertainty in \r\n.']
"The classical motion planning problem, which is at the core
of either of the approaches, can be defined as follows: we have
the robot’s end-effector E moving in the Cartesian workspace W
residing in ℜ3 ,5 The manipulator can move the end-effector with
an action U according to a state transition function f : X ×
U → X","['A limitation: The classical motion planning problem , which.']"
"The often complex planning problem can also be simplified by realizing that in compliant motions,
different motions of the robot can result in the same kind of motion of the object [223]",['A limitation: The often complex planning problem can also.']
"The data-hungry nature of reinforcement learning presents
an additional challenge for learning directly in a physical system",['A limitation: The data - hungry nature of reinforcement.']
"However, the approach results in another challenge in
the form of the reality gap between the simulation and the physical system","['A limitation: However , the approach results in another.']"
"A common problem with many
of the aforementioned strategies is that the segmentation part
often produces too many segments; pruning and joining of these
segments to simplify execution, regardless of the representation,
has been suggested in [246,247]",['A limitation: A common problem with many \r\n of.']
"Another challenge in LfD with in-contact tasks is that often the
robot should exploit the environment for more accurate positioning; however, as users often give as good demonstrations as they
can, it can be challenging to gather demonstrations where uncertainty forces the demonstrator to exploit the environment",['A limitation: Another challenge in LfD with in -.']
"Sudou, Dynamic hybrid position/force control of robot
manipulators-on-line estimation of unknown constraint, IEEE Trans","['A limitation: Sudou , Dynamic hybrid position / force.']"
"Ortmeier, Robotic task sequencing
problem: A survey, J","['A limitation: Ortmeier , Robotic task sequencing \r\n problem.']"
"Peters, Robot reinforcement learning on
the constraint manifold, in: Conference on Robot Learning, PMLR, 2022,
pp","['A limitation: Peters , Robot reinforcement learning on \r\n.']"
"Here,
the eigenvector is seen as a solving a relaxation of an NP-hard discrete graph partitioning problem [3], and it can be shown that cuts based on the second eigenvector
give a guaranteed approximation to the optimal cut [9, 3]","['A limitation: Here , \r\n the eigenvector is seen.']"
"Nonlinear component analysis as a kernel
eigenvalue problem",['A limitation: Nonlinear component analysis as a kernel \r\n.']
"IET Intelligent Transport Systems
Special Issue: Big Data Analytics and Artificial Intelligence (AI)
Applications for Smart Transportation - Selected Papers from World
Transportation Congress (WTC) 2018

Understanding drivers' route choice
behaviours in the urban network with
machine learning models

ISSN 1751-956X
Received on 30th April 2018
Revised 27th June 2018
Accepted on 18th July 2018
E-First on 28th September 2018
doi: 10",['A limitation: IET Intelligent Transport Systems \r\n Special Issue.']
"Another issue should also be noticed: the composition of the
choice set",['A limitation: Another issue should also be noticed :.']
"This issue has been
discussed substantially in the RUM domain, and it is positive that
inappropriate choice sets would lead to biased results",['A limitation: This issue has been \r\n discussed substantially.']
"In fact, this issue
also exists if we apply the ML algorithms to analyse route choice
behaviours, and we have questions that: (i) Should we use the
objective choice set other than the subjective one, which is the case
in Bekhor et al","['A limitation: In fact , this issue \r\n also.']"
"Owing to the privacy issue, we are not
allowed to use and present these data in this paper","['A limitation: Owing to the privacy issue , we.']"
"In particular, we investigate the issue that
discussed by Bekhor et al","['A limitation: In particular , we investigate the issue.']"
"Approximately,
the multiple OD problem can be considered as a single OD case","['A limitation: Approximately , \r\n the multiple OD problem.']"
"[The issue of
imbalanced data is mentioned by an anonymous reviewer",['A limitation: [ The issue of \r\n imbalanced data.']
"Since
the log-likelihood (the logarithm of probability of the chosen route)
instead of the predicted class is used for model evaluation, and
since the number of observations is adequate, the imbalanced issue
is not addressed in this experiment",['A limitation: Since \r\n the log - likelihood (.']
"Further study should be performed to investigate
the overlapping problem and the scale problem of route choice in
the ML models, to further explore and examine the capacity of the
ML methods in solving the bargaining issues in route choice
analysis",['A limitation: Further study should be performed to investigate.']
"In addition, a rigorous
proof on this issue would be desirable to make a final conclusion","['A limitation: In addition , a rigorous \r\n proof.']"
"The main problem currently identified by all operators is the inability of ships and shipping
agents to provide accurate estimates of a ship’s intended arrival (ETA)",['A limitation: The main problem currently identified by all.']
", proportionalderivative, PD), a (explicitly time dependent) control
policy can be written as:
u ¼ pðx; aðtÞ; tÞ ¼ pðx; ½xd ðtÞ; x_ d ðtÞ; tÞ
_
¼ Kx ðxd ðtÞ  xÞ þ Kx_ ðx_ d ðtÞ  xÞ

ð3Þ

For problems in which the desired trajectory is
easily generated and in which the environment is
static or fully predictable, such a shortcut through
the problem of policy generation is highly successful",['A limitation: For problems in which the desired trajectory.']
"A typical toy example for this
problem is the tracking of the surface of a ball with
the ﬁngertip",['A limitation: A typical toy example for this \r\n.']
"this relation can be equivalently expressed by a 1/3
power-law relating tangential velocity v(t) with radius of curvature r(t):
vðtÞ ¼ krðtÞ1=3

(8)

Since there is no physical necessity for movement
systems to satisfy this relation between kinematic
and geometric properties, and since the relation
has been reproduced in numerous experiments (for
an overview, see Viviani and Flash, 1995), the 2/3power law has been interpreted as an expression of
a fundamental constraint of the CNS, although
biomechanical properties may signiﬁcantly contribute (Gribble and Ostry, 1996)",['A limitation: this relation can be equivalently expressed by.']
"To the best of our
knowledge, this problem has prevented research
from employing nonlinear dynamic systems
models on a larger scale so far",['A limitation: To the best of our \r\n knowledge.']
"We will address
this problem by ﬁrst introducing a bit more formalism, and then by analyzing the resulting system
equations",['A limitation: We will address \r\n this problem by.']
"Based on this information, a supervised learning problem results with the following
target for f:
f target ¼ ty€ demo  az ðbz ðg  ydemo Þ  ty_ demo Þ (17)

439

In order to obtain a matching input for ftarget, the
canonical system needs to be integrated","['A limitation: Based on this information , a supervised.']"
"With this procedure, a clean supervised
learning problem is obtained over the time course
of the movement to be approximated with training
samples (x, ftarget)","['A limitation: With this procedure , a clean supervised.']"
"For solving the function approximation problem,
we chose a nonparametric regression technique from
locally weighted learning (LWPR) (Vijayakumar
and Schaal, 2000)","['A limitation: For solving the function approximation problem ,.']"
"(1990) The challenge of a physical account of
action: A personal view",['A limitation: The challenge of a physical account of.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
"I

n 1997, the “Kyoto Protocol” resolved that the issue of
reducing the greenhouse gas emissions of the shipping
industry would be dealt with within the framework of
the International Maritime Organization (IMO) [1]","['A limitation: I \r\n\r\n n 1997 , the “.']"
"Although a lot of work has been done on truck fuel saving
[4]–[7], due to the greater difficulty of ship transportation
energy saving, the work in this field is relatively lagging
behind",['A limitation: Although a lot of work has been.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
Regulation can reduce the overfitting problem,['A limitation: Regulation can reduce the overfitting problem.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
This article has been accepted for inclusion in a future issue of this journal,['A limitation: This article has been accepted for inclusion.']
"A Gated
Recurrent Unit (GRU) network encodes historical spatio-temporal sequences as a context vector, which
not only preserves the sequential relationships among trajectory locations, but also alleviates the gradient
descent problem",['A limitation: A Gated \r\n Recurrent Unit ( GRU.']
"Amongst many issues to deal with, trajectory prediction
is a hot issue as this should be dealt with in real-time, high

This work is licensed under a Creative Commons Attribution 4","['A limitation: Amongst many issues to deal with ,.']"
"A Gated Recurrent Unit (GRU) is used as the neural
unit, effectively alleviating the problem occurring when some
valuable states are ‘‘forgotten’’",['A limitation: A Gated Recurrent Unit ( GRU ).']
"The Seq2Seq
model proposed in this paper solves the problem of short-term
prediction of ship trajectory",['A limitation: The Seq2Seq \r\n model proposed in this.']
"BACKGROUND KNOWLEDGE

Trajectory prediction is a difficult issue to deal with and
different attempts have been made in various fields, including
the prediction of human, animal, aircraft, vehicle and vessel
trajectories",['A limitation: BACKGROUND KNOWLEDGE \r\n\r\n Trajectory prediction is a.']
"Therefore, in order to solve the problem of the
irregular frequency sampling of AIS data we resample trajectory data using relative time and position features","['A limitation: Therefore , in order to solve the.']"
"218568

3) NORMALIZATION

RNNs use the gradient descent method to solve the optimization problem during the training process",['A limitation: 218568 \r\n\r\n 3 ) NORMALIZATION \r\n\r\n RNNs.']
"Vetsikas c
a

Department of Informatics, University of Piraeus, Greece
Department of Informatics, Technological Educational Institute of Athens, Greece
c
Institute of Informatics & Telecommunications, NCSR Demokritos, Agia Paraskevi, Greece
b

a r t i c l e

i n f o

Article history:
Received 27 September 2016
Revised 6 July 2017
Accepted 13 July 2017
Available online 19 July 2017
Keywords:
Ship weather routing
Multi-criteria optimization
Time dependent networks
Resource-constrained shortest path

a b s t r a c t
The paper presents an improved solution to the ship weather routing problem based on an exact timedependent bi-objective shortest path algorithm",['A limitation: The paper presents an improved solution to.']
"The two objectives of the problem are the minimization
of the fuel consumption and the total risk of the ship route while taking into account the time-varying
sea and weather conditions and an upper bound on the total passage time of the route",['A limitation: The two objectives of the problem are.']
"The problem of optimal route planning in maritime transportation (or ship routing problem) takes into consideration the different objectives and constraints set by the ship owners, the national
regulations, the international organizations, etc",['A limitation: The problem of optimal route planning in.']
"Regardless of the
speciﬁc objectives/constraints, the main factor that makes the ship
routing problem diﬃcult to solve, is the time-varying weather conditions (Padhy et al",['A limitation: Regardless of the \r\n speciﬁc objectives /.']
"The parameters and cost factors of the
problem as well as the optimization criteria are strongly affected

∗

Corresponding author",['A limitation: The parameters and cost factors of the.']
"To accomplish this, a reliable model that predicts the ship’s response to the
weather and sea conditions is required, while an effective solution
approach for the ship routing problem should determine the heading control and ideally the optimal ship power settings according
to the weather and sea conditions","['A limitation: To accomplish this , a reliable model.']"
"Thus, broadly speaking, the ship
routing problem is a dynamic, time-dependent problem which is
usually referred to as the ship weather routing problem","['A limitation: Thus , broadly speaking , the ship.']"
"The optimization objectives in the ship routing problem are
usually the minimization of the voyage time, fuel consumption and
voyage risk",['A limitation: The optimization objectives in the ship routing.']
"In this paper, we consider the bi-objective time-constrained
ship weather routing problem as a time-dependent bi-objective
point-to-point shortest path problem with a constraint on the total voyage time","['A limitation: In this paper , we consider the.']"
The two objectives of the problem are the minimization of the fuel consumption and the total risk,['A limitation: The two objectives of the problem are.']
"1 However, in our problem setting, the objectives
are different and leaving from a node immediately after the arrival may not be the best option, for instance, when the costs (fuel
consumption and risk) along the outgoing link are decreasing in
the next time interval (Orda and Rom, 1991)","['A limitation: 1 However , in our problem setting.']"
"Although, computing
shortest paths in FIFO networks is a polynomially solvable problem (Kaufman and Smith, 1993; Orda and Rom, 1990), this is not
the case when optimal waiting policy should be determined for
other cost objectives (Orda and Rom, 1991)","['A limitation: Although , computing \r\n shortest paths in.']"
"To sum up, in this work, we address the time-dependent biobjective shortest path problem on a network with objectives other
than the travel time, with ﬁxed departure time, no waiting at
nodes, constant nominal speed and a constraint on the total travel
time","['A limitation: To sum up , in this work.']"
"Also, since the problem is time-dependent, it is assumed that
all arc costs are deterministic functions of the time","['A limitation: Also , since the problem is time.']"
"We ﬁrst give a non linear integer programming formulation
of the problem, and in the sequel we present a new exact algorithm for solving it",['A limitation: We ﬁrst give a non linear integer.']
"To the best of our knowledge, only a few algorithmic approaches for the multi-objective time-dependent shortest path problem have been proposed in the literature (Getachew
et al","['A limitation: To the best of our knowledge ,.']"
"We employ a
forward label-setting approach to eﬃciently tackle the aforementioned time-dependent bi-objective shortest path problem",['A limitation: We employ a \r\n forward label -.']
"’s (2006), the best so far algorithm in the
literature that solves the problem at hand, and the experimental
results conﬁrm the faster execution time of the proposed algorithms","['A limitation: ’s ( 2006 ) , the best.']"
"Furthermore, we present critical modelling issues that directly
affect the performance of our problem solution approach","['A limitation: Furthermore , we present critical modelling issues.']"
"We introduce a novel grid structure that is used as a base layer for
solving the ship weather routing problem and signiﬁcantly improves the eﬃciency of the proposed algorithm",['A limitation: We introduce a novel grid structure that.']
"Section 3 presents a non-linear integer programming formulation of the ship weather routing problem which is considered as a time-dependent bi-objective pointto-point shortest path problem, and gives an eﬃcient exact algorithm for solving the problem",['A limitation: Section 3 presents a non - linear.']
"Related work
The ship routing problem is a multi-objective, non-linear optimization problem with constraints which, due to the importance
of its applications, has been widely studied in the literature",['A limitation: Related work \r\n The ship routing problem.']
"Exact algorithms derive optimal solutions of the problem, however, they usually have heavy
computation demands",['A limitation: Exact algorithms derive optimal solutions of the.']
"Dynamic Programming and Label Setting methods are commonly met in exact approaches for solving the single objective ship
routing problem with or without constraints",['A limitation: Dynamic Programming and Label Setting methods are.']
"The authors
in Dolinskaya (2012) incorporate Dreyfus approach (Dreyfus, 1969)
so as to solve the ship routing problem in a dynamic environment
using as input, measurements of the ocean wave-ﬁeld surrounding
the vessel",['A limitation: so as to solve the ship routing.']
"Another exact method with fast convergence for solving the
ship routing problem is the A∗ search algorithm",['A limitation: Another exact method with fast convergence for.']
"In Babel and Zimmermann (2015) the
A∗ algorithm is employed to tackle the route planning problem in
the presence of obstacles",['A limitation: In Babel and Zimmermann ( 2015 ).']
"The main heuristic methods that have been employed in the literature for solving the ship routing problem, are the evolutionary
computation and the simulated annealing method",['A limitation: The main heuristic methods that have been.']
"The fast convergence of these methods to a near optimal solution makes them
suitable for solving the ship routing problem in real-time",['A limitation: The fast convergence of these methods to.']
"Despite
the potential of these heuristic methods in solving multi-objective
problems, they were mainly used for solving the single objective
ship routing problem and for minimizing a weighted sum of multiple different objectives (Kosmas and Vlachos, 2012)",['A limitation: Despite \r\n the potential of these heuristic.']
"In the sequel we brieﬂy refer to the research works which employ heuristic
methods for solving the multi-objective ship weather routing problem",['A limitation: In the sequel we brieﬂy refer to.']
"The approach is based on the Strength Pareto Evolutionary Algorithm (SPEA), which was designed for combinatorial
and continuous function multiple objective optimization problem
instances",['A limitation: The approach is based on the Strength.']
"(2015b) a genetic algorithm for solving the bi-objective
time-constrained ship weather routing problem is presented",['A limitation: ( 2015b ) a genetic algorithm for.']
"Route planning in the maritime setting is a complex problem
due to a number of dynamic phenomena and navigation constraints",['A limitation: Route planning in the maritime setting is.']
"Despite the importance of the time-dependent shortest path problem and its applications in maritime navigation, there are relatively few works in
the literature on these issues (Dolinskaya, 2012; Marie et al",['A limitation: Despite the importance of the time -.']
"In contrast, most literature on ship routing and scheduling focuses on the time-invariant
shortest path problem (Ari et al","['A limitation: In contrast , most literature on ship.']"
"However, there are also works which consider the inherent
uncertainty in the behaviour of ocean currents and weather conditions and treat ship routing as a stochastic optimization problem whose objective is to minimize the expected fuel consumption
(Azaron and Kianfar, 2003; Lo and McCord, 1998)","['A limitation: However , there are also works which.']"
"In this paper, we propose a new eﬃcient exact algorithm for
the bi-objective time-constrained ship weather routing problem","['A limitation: In this paper , we propose a.']"
"To
the best of our knowledge, it is the ﬁrst time that an exact multiobjective time-dependent algorithm is employed for solving the
ship weather routing problem",['A limitation: To \r\n the best of our knowledge.']
"The bi-objective time-constrained ship weather routing
problem
As already mentioned, we consider the bi-objective timeconstrained ship weather routing problem as a time-dependent biobjective time-constrained shortest path problem",['A limitation: The bi - objective time - constrained.']
"We deal with
the most realistic point-to-point instance of the problem, where
the ship speed is not a control variable and waiting at nodes is not
permitted",['A limitation: We deal with \r\n the most realistic.']
"In this section, we ﬁrst give a non linear integer programming formulation of the problem, and then we present a new
forward label-setting time-dependent bi-objective shortest path algorithm to solve the problem","['A limitation: In this section , we ﬁrst give.']"
"In the bi-objective
time-constrained ship weather routing problem, there are three
time-dependent positive costs ci1j (t ), ci2j (t ) and ci3j (t ) associated
with each edge (i, j) ∈ A, namely, the travel time, the fuel consumption and the risk respectively, incurred along this edge when leaving from node i at time t",['A limitation: In the bi - objective \r\n time.']
"The problem is to ﬁnd a shortest path P between a source s ∈ V
and a destination d ∈ V that minimizes the two objectives FC(P) and
R(P), leaving from the source node at time tstart , while not violating
the constraint TrT(P) ≤ T, where T is the maximum acceptable duration of a route","['A limitation: The problem is to ﬁnd a shortest.', 'A limitation: ∈ V that minimizes the two objectives.']"
"This
constraint is necessary since in the case of forbidden waiting at
nodes, the optimal solution may contain inﬁnite number of edges
at least in principle, as a result of inﬁnite loops created along the
route in an attempt to simulate waiting at nodes which is not permitted (Orda and Rom, 1991)",['A limitation: This \r\n constraint is necessary since in.']
"Since, this potentially
inﬁnite number of edges cannot be expressed by the ﬁnite number of variables in the above network ﬂow problem, an additional
constraint on the number of edges in a solution path should be
placed","['A limitation: Since , this potentially \r\n inﬁnite number.']"
"L
Constraint (4) requires that the total travel time of the solution path must not exceed the maximum acceptable duration T",['A limitation: L \r\n Constraint ( 4 ) requires.']
"Constraint (5) states that the ﬁrst edge of the solution path is
an outgoing edge of the start node s, while constraint (6) states
that at most one of the edges of the graph can be the rth edge
of the solution path",['A limitation: Constraint ( 5 ) states that the.']
"Constraint (7) ensures that the solution path
cannot extend beyond the destination node d regardless of its actual length",['A limitation: Constraint ( 7 ) ensures that the.']
"Constraint (8) determines the length of the solution
path",['A limitation: Constraint ( 8) determines the length of.']
"Constraint (9) ensures that the solution path will end up at
the destination node d after traversing the right number of edges",['A limitation: Constraint ( 9 ) ensures that the.']
"Constraint (10) is the ordinary ﬂow conservation constraint ensuring that there is only one incoming and one outgoing edge at
each node along the solution path and also that these edges are
successive in the path",['A limitation: Constraint ( 10 ) is the ordinary.']
"Since the objective functions may be conﬂicting, a single solution that simultaneously optimizes each objective may not exist
and therefore, the problem is actually to ﬁnd the set of non dominated solutions (Pareto optimal solutions)",['A limitation: Since the objective functions may be conﬂicting.']
"In the sequel, we present a new forward label-setting algorithm
(Algorithm 1) for solving the time-dependent bi-objective shortest
path problem with no waiting at the nodes and ﬁnding the set
of Pareto optimal paths","['A limitation: In the sequel , we present a.']"
"In contrast, in the corresponding static bi-criteria shortest path problem there is no need

224

A","['A limitation: In contrast , in the corresponding static.']"
", T +
tstart }
3: Ltemps (tstart ) ← {[ (0, 0 ); nul l ; nul l ]}
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:

for tar = tstart to T + tstart do
while (∪i∈V Ltempi (tar ) = ∅ ) do
Select a pivot label li∗ (tar ) from ∪i∈V Ltempi (tar )
/* Remove li∗ (tar ) from Ltempi (tar ) and add it to Lpermi∗ (tar ) */
Ltempi∗ (tar ) ← Ltempi∗ (tar )\{li∗ (tar )}
Lpermi∗ (tar ) ← Lpermi∗ (tar ) ∪ {li∗ (tar )}
/* Store the position of label li∗ (tar ) in the list Lpermi∗ (tar ) */
pos ← card (li∗ (tar ), Lpermi∗ (tar ))
if i∗ = d then
/* Label all the successors of i∗
*/
for all do(i∗ , j ) ∈ E
j
tar ← tar + t rt (i∗ , j, tar )
/* Check the total duration constraint
*/
j
g ← tar − tstart
h ← duration of the shortest path from node j to
node d
f ← g+h
j
if tar − tstart + h ≤ T then
1
2
j
l j (tar ) ← ((li∗ (tar ) + f c (i∗ , j, tar ),
li∗ (tar ) +
r (i∗ , j, tar )); i∗ ; pos )
j
/* Check that there is no label l j (tar ) of node j at time instance
j

j

tar dominating label l j (tar )
24:

*/

j
j
j
j
if ∃l j (tar ) ∈ Ltemp j (tar ) : l j (tar )≺l
˜ j (tar ) then
j

j

/* Store the label l j (tar ) of node j at time instance tar as temporary
*/
j
j
j
Ltemp j (tar ) ← Ltemp j (tar ) ∪ {l j (tar )}
26:

25:

27:

28:

j

/* Delete all temporary labels of node j at time instance tar
j
dominated by l j (tar )
*/
Ltemp j (tar ) ← Ltemp j (tar )\{l j (tar ) ∈
j

j
Ltemp j (tar )

29:
30:
31:
32:
33:
34:
35:
36:

j

j
l j (tar )

j

j
l j (tar )}

and
≺
end if
end if
end for
end if
end while
end for
/* Output:Lpermd , all Pareto optimal paths from the node s to
the node d
*/
return Lpermd

of partitioning the labels at each node according to their arrival
time and only a single set of non-dominated labels needs to be
kept at each node",['A limitation: * Check the total duration constraint \r\n.']
"Each of these new labels is kept only if it does not
violate the total travel time constraint (line 19) and is not dominated by another label belonging to the same node with the same
arrival time (lines 22–38)",['A limitation: Each of these new labels is kept.']
"This estimation
is used to check if the extension of the current, partial, path will
violate the constraint of the total travel time",['A limitation: This estimation \r\n is used to check.']
"In quest of an eﬃcient algorithm which will optimally solve
the ship routing problem, we considered several enhancements
of the algorithms in Veneti et al",['A limitation: In quest of an eﬃcient algorithm which.']
"’s (2006) which was slightly adjusted to
the problem at hand",['A limitation: ’s ( 2006 ) which was slightly.']
"’s algorithm tackles the same
problem but with arbitrary arrival time at the destination node,
while not taking into account possible constraints on the arrival
time at the destination",['A limitation: ’s algorithm tackles the same \r\n problem.']
"’s algorithm which implies that a forward algorithm
can solve this particular problem more eﬃciently than a backward
one",['A limitation: ’s algorithm which implies that a forward.']
"Speeding up and improvement techniques
So far, the ship routing problem has been handled as a bicriteria, time-dependent and resource-constrained path problem
whose parameters have been properly set considering the particular application scenario",['A limitation: Speeding up and improvement techniques \r\n So.']
"However, the main limitation is that it can be applied only for static
grids, i","['A limitation: However , the main limitation is that.']"
"For short
trips, where the weather conditions in the travel area are not likely
to change due to short travel time, static grids can be used for
solving the routing problem","['A limitation: For short \r\n trips , where the.']"
"Avoiding loops
It is a well known fact that if waiting at nodes is not an option, the optimal solutions for the shortest path problem may contain loops (Orda and Rom, 1990)",['A limitation: Avoiding loops \r\n It is a well.']
"However, as has been pointed out in Orda and Rom
(1990, 1991) where special cases of the problem at hand were
treated, ﬁnding routes without loops requires an enumeration of
all paths between source and destination, which increases the state
space that should be explored dramatically and hence the execution time","['A limitation: However , as has been pointed out.']"
"Clearly, the proposed algorithm enhanced with the grid pruning
and loop avoidance technique can eﬃciently solve the point-topoint ship routing problem","['A limitation: Clearly , the proposed algorithm enhanced with.']"
"Conclusion
In this paper, we developed an exact algorithm for solving the
time dependent, multi-objective and time constrained ship routing problem with ﬁxed departure time","['A limitation: Conclusion \r\n In this paper , we.']"
"The experimental evaluation of the proposed
approach conﬁrms that our techniques eﬃciently solve the shiprouting problem and they are suitable for real-time applications",['A limitation: The experimental evaluation of the proposed \r\n.']
"Dynamic shortest path in stochastic dynamic networks:
ship routing problem",['A limitation: Dynamic shortest path in stochastic dynamic networks.']
"Labeling algorithm for the shortest path problem
with turn prohibitions with application to large-scale road networks",['A limitation: Labeling algorithm for the shortest path problem.']
On green routing and scheduling problem,['A limitation: On green routing and scheduling problem.']
Continuous and discrete time label setting algorithms for the time dependent bi-criteria shortest path problem,['A limitation: Continuous and discrete time label setting algorithms.']
"2 Approach to Problem
3 Theoretical Part
3",['A limitation: 2 Approach to Problem \r\n 3 Theoretical.']
